title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Marriage Bargain,Angel Moore,romance,First published in 2016,/works/OL21275606W,/authors/OL7638073A/Angel_Moore,/https://i.ebayimg.com/images/g/E2AAAeSwLrBoNpMW/s-l1600.webp,Publish Date 2016|Publisher  Thorndike Press|Language English|Pages 388,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Hoping for a Father,Lois Richer,romance,First published in 2020,/works/OL21877966W,/authors/OL1391381A/Lois_Richer,/https://d1csarkz8obe9u.cloudfront.net/posterpreviews/simple-book-cover-template-design-c0aa3907896e0129750f7475ee200582_screen.jpg?ts=1637011190,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 368",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
One Scandalous Christmas Eve,Susan Stephens,romance,First published in 2020,/works/OL21898534W,/authors/OL4600201A/Susan_Stephens,//covers.openlibrary.org/b/olid/OL32280448M-M.jpg,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 224",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Her Hidden Hope,Jill Lynn,romance,First published in 2020,/works/OL21880355W,/authors/OL7420662A/Jill_Lynn,/https://d1csarkz8obe9u.cloudfront.net/posterpreviews/simple-book-cover-template-design-c0aa3907896e0129750f7475ee200582_screen.jpg?ts=1637011190,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 368",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Prodigal Cowboy,Brenda Minton,romance,First published in 2020,/works/OL21880346W,/authors/OL2674714A/Brenda_Minton,/https://d1csarkz8obe9u.cloudfront.net/posterpreviews/simple-book-cover-template-design-c0aa3907896e0129750f7475ee200582_screen.jpg?ts=1637011190,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 224",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finding the Road Home,Tina Radcliffe,romance,First published in 2020,/works/OL21873875W,/authors/OL7127436A/Tina_Radcliffe,/https://d1csarkz8obe9u.cloudfront.net/posterpreviews/simple-book-cover-template-design-c0aa3907896e0129750f7475ee200582_screen.jpg?ts=1637011190,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 368",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Texan's Promise,Jolene Navarro,romance,First published in 2020,/works/OL21873881W,/authors/OL7386468A/Jolene_Navarro,/https://d1csarkz8obe9u.cloudfront.net/posterpreviews/simple-book-cover-template-design-c0aa3907896e0129750f7475ee200582_screen.jpg?ts=1637011190,"Publish Date 2020|Publisher  Harlequin Enterprises, Limited|Language English|Pages 368",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Texan's Truth,Jolene Navarro,romance,First published in 2021,/works/OL24384093W,/authors/OL7386468A/Jolene_Navarro,//covers.openlibrary.org/b/olid/OL32291636M-M.jpg,"Publish Date Apr 27, 2021|Publisher  Love Inspired|Pages 224",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
A Plan for Her Future,Lois Richer,romance,First published in 2021,/works/OL24458058W,/authors/OL1391381A/Lois_Richer,//covers.openlibrary.org/b/olid/OL32396861M-M.jpg,"Publish Date Apr 27, 2021|Publisher  Love Inspired|Pages 368",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
His Dry Creek Legacy,Janet Tronstad,romance,First published in 2021,/works/OL24608275W,/authors/OL1422840A/Janet_Tronstad,//covers.openlibrary.org/b/olid/OL32643695M-M.jpg,"Publish Date May 25, 2021|Publisher  Love Inspired|Pages 215",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
